"id","relayid","sensorid","update_time","processed_status","start_index","end_index","index_len","width","peakvalue","other_peak","other_var"
"1","1","1","2017-5-4 11:16:26","0","95","276","2","94","24291","65294","2724"
"2","1","1","2017-5-4 11:16:31","0","97","252","2","99","8852","8618","1105"
"3","1","1","2017-5-4 11:16:36","0","95","391","2","184","51364","65535","4133"
"4","1","1","2017-5-4 11:16:41","0","95","799","3","609","64249","65535","4144"
"5","1","1","2017-5-4 11:16:46","0","95","313","2","102","27197","65535","3164"
"6","1","1","2017-5-4 11:16:51","0","94","249","2","108","10729","7731","1049"
"7","1","1","2017-5-4 11:16:56","0","96","308","2","79","19872","23689","2154"
"8","1","1","2017-5-4 11:17:01","0","95","647","3","451","28759","57753","2306"
"9","1","1","2017-5-4 11:17:06","0","97","255","2","101","8312","7669","901"
"10","1","1","2017-5-4 11:17:11","0","95","222","2","93","2778","986","221"
"11","1","1","2017-5-4 11:17:16","0","96","303","2","113","20612","43070","1821"
"12","1","1","2017-5-4 11:17:21","0","96","247","2","56","13513","24578","1290"
"13","1","1","2017-5-4 11:17:26","0","95","320","2","76","37899","65535","3458"
"14","1","1","2017-5-4 11:17:31","0","95","319","2","114","21435","18831","1563"
"15","1","1","2017-5-4 11:17:36","0","97","167","2","31","2348","980","213"
"16","1","1","2017-5-4 11:17:41","0","95","562","3","336","23916","51265","1947"
"17","1","1","2017-5-4 11:17:46","0","80","210","2","115","2536","1012","256"
"18","1","1","2017-5-4 11:17:51","0","95","296","2","102","29231","65535","4350"
"19","1","1","2017-5-4 11:17:56","0","96","272","2","65","14665","11719","1168"
"20","1","1","2017-5-4 11:18:01","0","94","266","2","117","8402","4016","801"
"21","1","1","2017-5-4 11:18:06","0","95","277","2","113","21461","65535","2183"
"22","1","1","2017-5-4 11:18:11","0","94","252","2","128","3360","918","200"
"23","1","1","2017-5-4 11:18:16","0","95","317","2","104","36226","65535","3140"
"24","1","1","2017-5-4 11:18:21","0","96","340","2","116","16083","26924","1616"
"25","1","1","2017-5-4 11:18:26","0","96","778","2","578","49059","65535","3358"
"26","1","1","2017-5-4 11:18:31","0","96","240","2","105","8894","10605","1080"
"27","1","1","2017-5-4 11:18:36","0","95","351","2","130","28530","58559","2721"
"28","1","1","2017-5-4 11:18:41","0","96","291","2","115","27867","65535","3394"
"29","1","1","2017-5-4 11:18:46","0","95","272","2","88","35100","40517","2936"
"30","1","1","2017-5-4 11:18:51","0","95","310","2","115","22520","14733","1475"
"31","1","1","2017-5-4 11:18:56","0","95","256","2","100","4624","1140","321"
"32","1","1","2017-5-4 11:19:01","0","95","312","2","101","15511","15571","1281"
"33","1","1","2017-5-4 11:19:06","0","95","662","3","471","15621","9921","1056"
"34","1","1","2017-5-4 11:19:11","0","96","302","2","117","16523","25971","1505"
"35","1","1","2017-5-4 11:19:16","0","95","272","2","126","2960","936","226"
"36","1","1","2017-5-4 11:19:21","0","95","305","2","122","22249","46269","1802"
